pmid,id,journal,year,title,author,abstract
35503435,WBPaper00064006,Autophagy,2022,SAMS-1 coordinates HLH-30/TFEB and PHA-4/FOXA activities through histone methylation to mediate dietary restriction-induced autophagy and longevity.,Lim CY|Lin HT|Kumsta C|Lu TC|Wang FY|Kang YH|Hansen M|Ching TT|Hsu AL,"Dietary restriction (DR) is known to promote autophagy to exert its longevity effect. While SAMS-1 (S-adenosyl methionine synthetase-1) has been shown to be a key mediator of the DR response, little is known about the roles of S-adenosyl methionine (SAM) and SAM-dependent methyltransferase in autophagy and DR-induced longevity. In this study, we show that DR and SAMS-1 repress the activity of SET-2, a histone H3K4 methyltransferase, by limiting the availability of SAM. Consequently, the reduced H3K4me3 levels promote the expression and activity of two transcription factors, HLH-30/TFEB and PHA-4/FOXA, which both regulate the transcription of autophagy-related genes. We then find that HLH-30/TFEB and PHA-4/FOXA act collaboratively on their common target genes to mediate the transcriptional response of autophagy-related genes and consequently the lifespan of the animals. Our study thus shows that the SAMS-1-SET-2 axis serves as a nutrient-sensing module to epigenetically coordinate the activation of HLH-30/TFEB and PHA-4/FOXA transcription factors to control macroautophagy/autophagy and longevity in response to DR."
32875367,WBPaper00060204,Appl Microbiol Biotechnol,2020,In vitro and in vivo lipidomics as a tool for probiotics evaluation.,Schifano E|Cicalini I|Pieragostino D|Heipieper HJ|Del Boccio P|Uccelletti D,"The probiotic bacteria are helpful for nutritional and therapeutic purposes, and they are commercially available in various forms, such as capsules or powders. Increasing pieces of evidence indicate that different growth conditions and variability in manufacturing processes can determine the properties of probiotic products. In recent years, the lipidomic approach has become a useful tool to evaluate the impact that probiotics induce in host physiology. In this work, two probiotic formulations with identical species composition, produced in two different sites, the USA and Italy, were utilized to feed Caenorhabditis elegans, strains and alterations in lipid composition in the host and bacteria were investigated. Indeed, the multicellular organism C. elegans is considered a simple model to study the in vivo effects of probiotics. Nematodes fat metabolism was assessed by gene expression analysis and by mass spectrometry-based lipidomics. Lipid droplet analysis revealed a high accumulation of lipid droplets in worms fed US-made products, correlating with an increased expression of genes involved in the fatty acid synthesis. We also evaluated the lifespan of worms defective in genes involved in the insulin/IGF-1-mediated pathway and monitored the nuclear translocation of DAF-16. These data demonstrated the involvement of the signaling in C. elegans responses to the two diets. Lipidomics analysis of the two formulations was also conducted, and the results indicated differences in phosphatidylglycerol (PG) and phosphatidylcholine (PC) contents that, in turn, could influence nematode host physiology. Results demonstrated that different manufacturing processes could influence probiotics and host properties in terms of lipid composition. KEY POINTS:  Probiotic formulations impact on Caenorhabditis elegans lipid metabolism;  Lipidomic analysis highlighted phospholipid abundance in the two products;  Phosphocholines and phosphatidylglycerols were analyzed in worms fed the two probiotic formulations."
NA,WBPaper00037015,"C. elegans: Development and Gene Expression, EMBL, Heidelberg, Germany",2010,Transcriptional networks link lipid and methyl donor biosynthetic pathways,"Walker, Amy|Jiang, Karen|Rottiers, Veerle|Norton, David|Watts, Jennifer|Hart, Anne|Naar, Anders","The highly conserved sterol regulatory element binding protein (SREBP) family of transcription factors regulates cholesterol, fatty acid and phospholipid biosynthesis genes and impact human metabolic disorders. We have examined mechanisms of gene regulation by the SREBP ortholog SBP-1 in C. elegans and identified enzymes in the 1-carbon cycle, a key biochemical circuit for producing methyl groups, as a novel metabolic pathway controlled by SREBP. The SBP-1-regulated gene sams-1 encodes the central enzyme in this metabolic circuit and synthesizes the methyl donor SAMe   which is required for most cellular methylation reactions. Interestingly, RNA interference of sams-1 disrupts normal lipid homeostasis, resulting in elevated expression of SBP-1 target genes and fat droplet accumulation throughout the worms. These findings suggest that SBP-1 may respond to changes in some methylation-dependent process when sams-1 activity is decreased. We have also found that levels of the essential membrane phospholipid phosphatidylcholine (PC) are low in sams-1(RNAi) animals, correlating with the importance of methylation for the primary PC biosynthetic pathway.  To determine if low PC levels contributed to sams-1 phenotypes, we bypassed methylation-dependent PC synthesis by dietary addition of choline. Choline rescued multiple sams-1 phenotypes, including lipid accumulation and upregulation of SBP-1 target genes. This suggests that, akin to cholesterol inhibition of mammalian SREBPs, SBP-1 may be negatively regulated by PC. Thus, we have discovered a nove  l set of SBP-1/SREBP target genes which impact production of methyl donors within the cell. Regulation of the 1-CC by SBP-1/SREBP may allow coordinated production of lipoprotein particles, and opens the possibility that SBP-1/SREBP may affect other methylation-dependent processes as well, such as epigenetic gene regulation."
NA,WBPaper00057442,International Worm Meeting,2019,Understanding the role of S-adenosyl methionine synthases under stress.,"Godbole, A.A.|Amy, Walker","Abstract  Post-translational modification of histones integrates environmental and metabolic cues with chromatin to elicit a pattern of gene expression and influence downstream and cellular processes. One such PTM is methylation carried out by histone methyltransferases which utilize methyl group from S-adenosyl methionine (SAM), which is produced by the 1-carbon cycle.  Changes in the environment can perturb SAM content, which in turn influences interplay between histone modification, gene expression and adaptation to the environment. The C. elegans genome encodes four SAM synthases - sams-1,3,4 and 5, with sams-1 contributing to ~ 50% of the SAM pool in the adult worm. Although the individual SAM synthases share a high degree of sequence homology and carry out identical biochemical function, using RNASeq, we found they are responsible for expression of distinct gene sets, suggesting distinct biological effects. SAM is important for maintenance of H3K4me3 in adult intestinal cells and we previously found that one SAM synthase, sams-1, and H3K4me3 were important for gene expression and survival in bacterial and xenotoxic stress.  However, sams-1(RNAi) animals survived better during heat shock.  In order to understand this paradox, we examined H3K4me3 during the heat shock response and found that H3K4me3 levels were restored, despite the loss of sams-1. This suggests other regulators of H3K4me3 may contribute in this instance.  Therefore, we asked if other potential modifiers of H3K4 including methyltransferases, demethylases or other SAM synthases might contribute to the increased H3K4me3 in the absence of sams-1.  Using RNAi to knockdown these modifiers in sams-1(lof) animals under heat stress, we found that one histone demethylase, spr-5, was required for the H3K4me3 rescue and for the enhanced survival of the sams-1(lof) animals.  This possibly indicates a role for the demethylases in driving the perturbation in gene expression essential for survival under heat stress.  Finally, we found that knockdown of either sams-3 or sams-4 reduced the survival in heat shock, indicating that individual SAM synthases have distinct physiological roles in this stress response. Our results suggests that SAM produced by distinct synthases may have independent roles in basal or gene expression in response to stress."
21647448,WBPaper00038491,PLoS One,2011,OrthoList: a compendium of C. elegans genes with human orthologs.,Shaye DD|Greenwald I,"BACKGROUND: C. elegans is an important model for genetic studies relevant to human biology and disease. We sought to assess the orthology between C. elegans and human genes to understand better the relationship between their genomes and to generate a compelling list of candidates to streamline RNAi-based screens in this model. RESULTS: We performed a meta-analysis of results from four orthology prediction programs and generated a compendium, ""OrthoList"", containing 7,663 C. elegans protein-coding genes. Various assessments indicate that OrthoList has extensive coverage with low false-positive and false-negative rates. Part of this evaluation examined the conservation of components of the receptor tyrosine kinase, Notch, Wnt, TGF-B and insulin signaling pathways, and led us to update compendia of conserved C. elegans kinases, nuclear hormone receptors, F-box proteins, and transcription factors. Comparison with two published genome-wide RNAi screens indicated that virtually all of the conserved hits would have been obtained had just the OrthoList set (38% of the genome) been targeted. We compiled Ortholist by InterPro domains and Gene Ontology annotation, making it easy to identify C. elegans orthologs of human disease genes for potential functional analysis. CONCLUSIONS: We anticipate that OrthoList will be of considerable utility to C. elegans researchers for streamlining RNAi screens, by focusing on genes with apparent human orthologs, thus reducing screening effort by 60%. Moreover, we find that OrthoList provides a useful basis for annotating orthology and reveals more C. elegans orthologs of human genes in various functional groups, such as transcription factors, than previously described."
33016879,WBPaper00060431,Elife,2020,<i>C. elegans</i> methionine/S-adenosylmethionine cycle activity is sensed and adjusted by a nuclear hormone receptor.,Giese GE|Walker MD|Ponomarova O|Zhang H|Li X|Minevich G|Walhout AJ,"Vitamin B12 is an essential micronutrient that functions in two metabolic pathways: the canonical propionate breakdown pathway and the methionine/S-adenosylmethionine (Met/SAM) cycle. In <i>Caenorhabditis elegans,</i> low vitamin B12, or genetic perturbation of the canonical propionate breakdown pathway results in propionate accumulation and the transcriptional activation of a propionate shunt pathway. This propionate-dependent mechanism requires <i>nhr-10</i> and is referred to as 'B12-mechanism-I'. Here, we report that vitamin B12 represses the expression of Met/SAM cycle genes by a propionate-independent mechanism we refer to as 'B12-mechanism-II'. This mechanism is activated by perturbations in the Met/SAM cycle, genetically or due to low dietary vitamin B12. B12-mechanism-II requires <i>nhr-114</i> to activate Met/SAM cycle gene expression, the vitamin B12 transporter, <i>pmp-5</i>, and adjust influx and efflux of the cycle by activating msra-1 and repressing <i>cbs-1</i>, respectively. Taken together, Met/SAM cycle activity is sensed and transcriptionally adjusted to be in a tight metabolic regime."
35036864,WBPaper00062388,iScience,2022,Gene regulatory network inference in long-lived <i>C.elegans</i> reveals modular properties that are predictive of novel aging genes.,Suriyalaksh M|Raimondi C|Mains A|Segonds-Pichon A|Mukhtar S|Murdoch S|Aldunate R|Krueger F|Guimera R|Andrews S|Sales-Pardo M|Casanueva O,"We design a ""wisdom-of-the-crowds"" GRN inference pipeline and couple it to complex network analysis to understand the organizational principles governing gene regulation in long-lived <i>glp-1</i>/Notch <i>Caenorhabditis elegans</i>. The GRN has three layers (input, core, and output) and is topologically equivalent to bow-tie/hourglass structures prevalent among metabolic networks. To assess the functional importance of structural layers, we screened 80% of regulators and discovered 50 new aging genes, 86% with human orthologues. Genes essential for longevity-including ones involved in insulin-like signaling (ILS)-are at the core, indicating that GRN's structure is predictive of functionality. We used <i>invivo</i> reporters and a novel functional network covering 5,497 genetic interactions to make mechanistic predictions. We used genetic epistasis to test some of these predictions, uncovering a novel transcriptional regulator, <i>sup-37</i>, that works alongside DAF-16/FOXO. We present a framework with predictive power that can accelerate discovery in <i>C.elegans</i> and potentially humans."
17673661,WBPaper00030894,Science,2007,Quantitative mass spectrometry identifies insulin signaling targets in C. elegans.,Dong MQ|Venable JD|Au N|Xu T|Park SK|Cociorva D|Johnson JR|Dillin A|Yates JR,"DAF-2, an insulin receptor-like protein, regulates metabolism, development, and aging in Caenorhabditis elegans. In a quantitative proteomic study, we identified 86 proteins that were more or less abundant in long-lived daf-2 mutant worms than in wild-type worms. Genetic studies on a subset of these proteins indicated that they act in one or more processes regulated by DAF-2, including entry into the dauer developmental stage and aging. In particular, we discovered a compensatory mechanism activated in response to reduced DAF-2 signaling, which involves the protein phosphatase calcineurin."
33175851,WBPaper00060612,PLoS One,2020,S-adenosyl methionine synthetase SAMS-5 mediates dietary restriction-induced longevity in Caenorhabditis elegans.,Chen CC|Lim CY|Lee PJ|Hsu AL|Ching TT,"S-adenosyl methionine synthetase (SAMS) catalyzes the biosynthesis of S-adenosyl methionine (SAM), which serves as a universal methyl group donor for numerous biochemical reactions. Previous studies have clearly demonstrated that SAMS-1, a C. elegans homolog of mammalian SAMS, is critical for dietary restriction (DR)-induced longevity in Caenorhabditis elegans. In addition to SAMS-1, three other SAMS paralogs have been identified in C. elegans. However, their roles in longevity regulation have never been explored. Here, we show that depletion of sams-5, but not sams-3 or sams-4, can extend lifespan in worms. However, the phenotypes and expression pattern of sams-5 are distinct from sams-1, suggesting that these two SAMSs might regulate DR-induced longevity via different mechanisms. Through the genetic epistasis analysis, we have identified that sams-5 is required for DR-induced longevity in a pha-4/FOXA dependent manner."
22035958,WBPaper00040386,Cell,2011,A conserved SREBP-1/phosphatidylcholine feedback circuit regulates lipogenesis in metazoans.,Walker AK|Jacobs RL|Watts JL|Rottiers V|Jiang K|Finnegan DM|Shioda T|Hansen M|Yang F|Niebergall LJ|Vance DE|Tzoneva M|Hart AC|Naar AM,"Sterol regulatory element-binding proteins (SREBPs) activate genes involved in the synthesis and trafficking of cholesterol and other lipids and are critical for maintaining lipid homeostasis. Aberrant SREBP activity, however, can contribute to obesity, fatty liver disease, and insulin resistance, hallmarks of metabolic syndrome. Our studies identify a conserved regulatory circuit in which SREBP-1 controls genes in the one-carbon cycle, which produces the methyl donor S-adenosylmethionine (SAMe). Methylation is critical for the synthesis of phosphatidylcholine (PC), a major membrane component, and we find that blocking SAMe or PC synthesis in C. elegans, mouse liver, and human cells causes elevated SREBP-1-dependent transcription and lipid droplet accumulation. Distinct from negative regulation of SREBP-2 by cholesterol, our data suggest a feedback mechanism whereby maturation of nuclear, transcriptionally active SREBP-1 is controlled by levels of PC. Thus, nutritional or genetic conditions limiting SAMe or PC production may activate SREBP-1, contributing to human metabolic disorders."
