Journal Name,ISSN,2021 JIF,eISSN,Category
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,286.13,1542-4863,ONCOLOGY - SCIE(Q1)
LANCET,0140-6736,202.731,1474-547X,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,176.079,1533-4406,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,157.335,1538-3598,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,113.915,1471-0080,CELL BIOLOGY - SCIE(Q1)
NATURE REVIEWS DRUG DISCOVERY,1474-1776,112.288,1474-1784,PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)
NATURE REVIEWS IMMUNOLOGY,1474-1733,108.555,1474-1741,IMMUNOLOGY - SCIE(Q1)
Lancet Respiratory Medicine,2213-2600,102.642,N/A,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1)
BMJ-British Medical Journal,0959-535X,93.333,1756-1833,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
NATURE MEDICINE,1078-8956,87.241,1546-170X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)"
Lancet Microbe,N/A,86.208,2666-5247,INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)
World Psychiatry,1723-8617,79.683,2051-5545,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)
NATURE REVIEWS MICROBIOLOGY,1740-1526,78.297,1740-1534,MICROBIOLOGY - SCIE(Q1)
Lancet Psychiatry,2215-0374,77.056,N/A,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)
