abstract,id,title,journal,year,author
"Nephronophthisis (NPH) is a cystic kidney disorder that causes end-stage renal failure in children. Five nephrocystin (nephrocystin-1 to nephrocystin-5) genes, whose function is disrupted in NPH patients, have been identified and data indicate they form a complex at cell junctions and focal adhesions. More recently, the nephrocystin proteins have also been identified in cilia, as have multiple other cystic kidney disease related proteins. Significant insights into this cilia and cystic kidney disease connection have come from analyses in simpler eukaryotic organisms such as Caenorhabditis elegans. In this regard, we became interested in the C. elegans homologs of nephrocystin-1 (nph-1) and nephrocystin-4 (nph-4) from a database screen to identify genes coordinately regulated by the ciliogenic transcription factor DAF-19. Here we show that expression of nph-1 and nph-4 is DAF-19 dependent, that their expression is restricted to ciliated sensory neurons, and that both NPH-1 and NPH-4 concentrate at the transition zones at the base of the cilia, but are not found in the cilium axoneme. In addition, NPH-4 is required for the localization of NPH-1 to this domain. Interestingly, nph-1 or nph-4 mutants have no obvious cilia assembly defects; however, they do have abnormalities in cilia-mediated sensory functions as evidenced by abnormal chemotaxis and lifespan regulation. Our data suggest that rather than having a ciliogenic role, the NPH proteins play an important function as part of the sensory or signaling machinery of this organelle. These findings suggest that the defects in human NPH patients may not be the result of aberrant ciliogenesis but abnormal cilia-sensory functions.",WBPaper00027772,The C. elegans homologs of nephrocystin-1 and nephrocystin-4 are cilia transition zone proteins involved in chemosensory perception.,J Cell Sci,2005,Winkelbauer ME|Schafer JC|Haycraft CJ|Swoboda P|Yoder BK
"Cilia are an important cellular differentiation of sensory neurons for receiving information from the environment. For example in C. elegans, ciliated sensory neurons in the amphid sensilla mediate responses to environmental conditions. Mutations that affect the morphology of ciliated endings of these sensory neurons usually cause diverse phenotypes such as defective chemo- and mechanosensation. They also affect the decision of whether or not to form a dauer (diapause) larva. These mutations identify genes required for proper neuronal differentiation and cilia formation. daf-19 mutants (daf = dauer formation affected) completely lack sensory cilia. This was shown by electron microscopy (serial sections through the head of the worm) and by analysis of transgenic animals expressing GFP in the amphid neuron ASE in daf-19 mutants. Aside from the absence of cilia, the neurons seemed to be morphologically normal. The amphid neuron AFD (which has only a rudimentary cilium) was apparently normal in daf-19 mutants. We cloned daf-19. It encodes an RFX-type transcription factor. So far this class of proteins has been found in humans, mice and yeast. From work with mammalian cell cultures the RFX-binding sites (X-boxes) for some members of the family are known. By searching the C. elegans genome database we found DNA-sequences that fit the X-box consensus in the promoter regions of genes known to be expressed or to function in ciliated sensory neurons. As a first step toward testing whether daf-19 transcriptionally regulates these genes in vivo we fused three different promoters to GFP (che-2, osm-1, osm-6; containing either wild-type or mutated X-box sequences, respectively). In the wild-type situation all three promoters drove GFP expression in ciliated sensory neurons in the head and in the tail of the animal. When the X-box sequences were mutated in all three promoters, GFP expression was drastically curtailed or absent in all of these neurons. So far our results strongly suggest that DAF-19 controls the transcription of a battery of genes whose products form the sensory cilium or function therein.",WBPaper00017404,daf-19 REGULATES THE FORMATION OF CILIATED ENDINGS OF SENSORY NEURONS IN C. ELEGANS,West Coast Worm Meeting,1998,Swoboda P|Hankins EG|Adler HT|Thomas JH
"RFX transcription factors are master regulators of ciliogenesis in diverse animal species. The sole Caenorhabditis elegans RFX homolog, DAF-19, plays at least two roles in the formation of functional cilia. The DAF-19(C) isoform is required for ciliogenesis and the DAF-19(M) isoform is required for the functional specialization of a subset of male-specific ciliated neurons called PKD neurons. Here we report the identification of a novel mutation, daf-19(sm129), which disrupts the functional specification of PKD neurons and thus suggests that daf-19m activity is compromised. However, ciliogenesis is not disrupted in daf-19(sm129) mutants suggesting that daf-19c activity is retained. The sm129 mutation disrupts a splice acceptor site adjacent to an exon common to the daf-19c and daf-19m isoforms resulting in aberrant splicing in a proportion of transcripts. While aberrant splicing of daf-19c to upstream cryptic sites results in in-frame and functional products, a large proportion of daf-19m mRNAs include the entire upstream intron, which introduces a frameshift and stop codons. At least 15% of disease-causing mutations affect splicing of the gene bearing the mutation, thus it is important to understand the consequences of splice site mutations on gene function. However, predicting the effects of a splice site mutation remains difficult and experimental determination is still required. Using daf-19(sm129) as a model, our results suggest that this problem is exacerbated when a splice acceptor mutation is used by multiple isoforms of the same gene because the effects on each isoform can be dramatically different.",WBPaper00046396,A splice acceptor mutation in C. elegans daf-19/Rfx disrupts functional specialization of male-specific ciliated neurons but does not affect ciliogenesis.,Gene,2015,Wells KL|Rowneki M|Killian DJ
"Cilia are an important cellular differentiation of sensory neurons for receiving information from the environment. 60 of the 302 C. elegans neurons have ciliated endings. Mutations in a large number of genes have been identified that affect the structure of these sensory cilia. Of these, daf-19 mutations are unique in completely lacking all sensory cilia. This was shown by electron microscopy and by analysis of transgenic animals expressing GFP in different sensory neurons. Aside from the absence of sensory cilia, the neurons seem to be morphologically normal. We previously reported that daf-19 encodes an RFX-type transcription factor. This class of proteins has been found in humans, mice and yeast. From work with mammalian cell cultures the RFX-binding sites (x-boxes; 14-16 bp long) for some members of the family are known. We found x-box-like sequences in the promoter regions of genes known to be expressed or to function in ciliated sensory neurons. As of now we have tested whether daf-19 transcriptionally regulates three of these genes in vivo by fusing their promoters to GFP ( che-2 , osm-1 , osm-6 ; containing either wild-type or mutated x-box sequences, respectively). We found that these promoters drove GFP expression only in ciliated sensory neurons and that expression was dependent on daf-19 function and on the x-box sequence. Using these C. elegans x-box sequences as a guide, we searched the C. elegans genome database and identified 20-30 additional x-boxes which, by sequence similarity and position within the promoter region, define new genes that are potential daf-19 regulatory targets. Our results strongly suggest that DAF-19 regulates the differentiation of sensory cilia by activating the transcription of a battery of genes whose products form the sensory cilium.",WBPaper00023019,Genes involved in the formation of ciliated endings of sensory neurons in C. elegans,International C. elegans Meeting,1999,P Swoboda|JH Thomas
"We have been working on the control of the periodic activation of the defecation motor program. What factors determine that the defecation motor program is activated every 45 sec in well-fed adult worms? In part we have taken a genetic approach to answering this question. We have outlined our screen for defecation cycle period mutants (Dec) in recent C. elegans meeting abstracts. The mutants we have identified so far fall into several classes; Dec-s (short) mutants that activate the motor program faster than every 45 sec, Dec-l (long) mutants that have much longer intervals between defecations, Dec-v (variable) mutants that have cycle periods that vary, and finally the Dec-echo mutant which I will discuss in detail. The"" Echo"" phenotype was originally described for the strain DR86 carrying daf-19 (m86)II, as an additional posterior body contraction following the normal motor program with a delay of about 10 seconds (Thomas, Genetics, 1990). We have recently determined that the echo phenotype does not map to the daf-19 locus but to an independent location in the unc-22 cluster of IV. We have designated this Echo allele sa200 .sa200 is completely recessive and it's phenotype is similar in trans to a deficiency of the locus, indicating that Echo may be the null phenotype. Wild-type worms on plentiful food activate the motor program about every 45 sec with a standard deviation of less than 3 sec, as shown in the left panel of the figure. In the figure the occurrence of the motor program is indicated by the letters p, a, and x for each of the three steps of the complete motor program, posterior body contraction, anterior body contraction, and expulsion. Each part of the motor program is usually but not necessarily activated for each defecation. Each dot represents one second of elapsed time. The right panel shows the defecation phenotype of the mutant JT200 (sa200 ).Following the normal motor program is a weaker and more variable version of the motor program that we have termed the Echo. The Echo cycle follows the principal cycle with a latency of 10-15 sec. The Echo cycle is much more likely to be missing a part of the motor program and the contraction of the muscles appears weaker. [See Figure 1] JT200 animals also have an unusual phenotype in the absence of food. In the absence of food wild-type animals stop pumping their pharynx and cease defecating. After more than one hour off of food animals resume sporadic pumping of their pharynx but defecate very infrequently, on average less than once every 400s (n = 19 animals). In contrast after about 20 minutes off of food, JT200 animals resume defecating. The average cycle period is 145s (n=19 animals) and appears less periodic, but defecation is occurring much more frequently than in wild-type animals. Additionally, echos are seldom observed when JT200 activates the motor program off of food (see below). We wondered whether food concentration affected the 10-15s delay between the principal cycle and the echo, or whether food concentration determined how often an echo occurred. We made a concentrated suspension of OP50 (A=.60 at OD600 ),which, when spread on agar plates had the consistency of a mature bacterial lawn. This was designated a 1x food preparation. We tested echo and N2 animals on 1 x food to confirm that cycle periodicity was the same as on normally grown food. We then tested animal's defecation behavior on dilutions of the 1x food stock. Based on the data in the Table, we conclude that the probability of an echo occurring is influenced by the food concentration while the delay from principal cycle is not. [See Figure 2]",WBPaper00014661,"Hello hello, Is There an Echo echo on This Plate plate?",Worm Breeder's Gazette,1992,Liu DWC|Thomas JH
"Ciliated neurons in animals are important for the reception of environmental stimuli. To understand the mechanism of cilium morphogenesis in Caenorhabditis elegans, we analyzed dyf-3 mutants that are defective in uptake of a fluorescent dye and abnormal in sensory cilium structure. Expression of green fluorescent protein in sensory neurons of a dyf-3 mutant revealed that the mutant has stunted cilia and abnormal posterior projections in some sensory neurons. The dyf-3 gene encodes three proteins with different N-terminals. The largest DYF-3 protein has 404 amino acid residues that are 38% identical with those of a predicted human protein of unknown function. Expression of a functional dyf-3Colon, two colonsgfp fusion gene is detected in 26 chemosensory neurons, including six IL2 neurons, eight pairs of amphid neurons (ASE, ADF, ASG, ASH, ASI, ASJ, ASK and ADL) and two pairs of phasmid neurons (PHA and PHB). Expression of a dyf-3 cDNA in specific neurons of dyf-3 animals indicated that dyf-3 acts cell-autonomously for fluorescent dye uptake. Reduction of dyf-3Colon, two colonsgfp expression in a daf-19 mutant suggests that dyf-3 expression is regulated by DAF-19 transcription factor, and DYF-3 may be involved in the intraflagellar transport system.",WBPaper00024960,The dyf-3 gene encodes a novel protein required for sensory cilium formation in Caenorhabditis elegans.,J Mol Biol,2005,Murayama T|Toh Y|Ohshima Y|Koga M
"Our lab is interested in the regulation of neurotransmitter biosynthesis under aversive conditions. Using GFP reporters, we found that the expression of GABA synthesis gene unc-25/glutamic acid decarboxylase was increased, while acetylcholine (ACh) synthesis gene cha-1/choline acetyltransferase was reduced in dauer animals. By contrast, we observed that in starved L1 animals, the expression of both unc-25::gfp and cha-1::gfp was decreased, suggesting that GABA biosynthesis is differentially regulated under distinct aversive conditions. A previous report indicated that the RFX transcription factor DAF-19 is expressed in the locomotory neurons and daf-19 mutants exhibited enhanced resistance to aldicarb (Senti and Swoboda, 2008). We found that daf-19::gfp levels in the locomotory neurons was reduced in wild-type dauers. Since either reduced ACh neurotransmission or increased GABA neurotransmission could lead to enhanced resistance to aldicarb (Loria et al., 2004; Vashlishan et al., 2008), we analyzed unc-25::gfp and cha-1::gfp in daf-19 mutants. We observed that cha-1::gfp was reduced in daf-19 mutants. Furthermore, we found that the expression of unc-25 and unc-47/vesicular GABA transporter was significantly increased in both daf-19(m86) and daf-19(yz70) mutants. While several previous studies have shown that DAF-19 acts as a transcriptional activator (Swoboda et al., 2000; Wang et al., 2010; Xie et al., 2013), our results suggest that DAF-19 may also act as a negative regulator of GABA neurotransmission under optimal growth conditions. Enhanced GABA neurotransmission could represent a genetic program that inhibit un-necessary locomotion under aversive growth conditions and may contribute to the characteristic relax appearance of dauers. References: Loria PM, Hodgkin J and Hobert O, 2004. J. Neurosci. 24:2191-2201.Senti G and Swoboda P, 2008. Mol Biol Cell 19(12):5517-28.Swoboda P, Haskell T, Adler HT and Thomas JH, 2000. Mol Cell 5:411-421.Vashlishan AB, Madison JM, Dybbs M, Bai J, Sieburth D, Ch'ng Q, Tavazoie M and Kaplan JM, 2008. Neuron 58:346-361.Wang J, Schwartz HT, Barr MM, 2010. Genetics 186:1295-1307.Xie Y, Moussaif M, Choi S, Xu L and Sze JY, 2013. PLoS Genet 9(3): e1003324.",WBPaper00043447,DAF-19 acts as a negative regulator to modulate environment-dependent GABA phenotypes.,International Worm Meeting,2013,"Xie, Yusu|Moussaif, Mustapha|Sze, Ji Ying"
"The daf-19 gene encodes the only RFX transcription factor in C. elegans, producing at least four related protein isoforms, one of which, DAF-19C, is responsible for ciliogenesis. Previous work by Senti and Swoboda (Mol Biol Cell 2008) demonstrated that adult worms deficient in all four DAF-19 proteins have extremely aberrant dwelling and roaming behavior on food.  Most intriguing is that transgenic addition of the DAF-19C isoform restored cilia formation, but did not fully restore dwelling and roaming behavioral defects.  We are developing a related assay that mimics a patchy food environment to further probe worm foraging behavior.  We are testing worms lacking all isoforms of DAF-19 as well as those containing mutant alleles that affect only the larger isoforms of DAF-19 to determine whether these isoforms play a role in nervous system function.",WBPaper00047878,Assessment of DAF-19-Related Behavioral Defects.,International Worm Meeting,2015,"Stinson, Loraina|Piasecki, Brian P.|Sugiaman-Trapman, Debora|Swoboda, Peter"
"The C. elegans gene Y41G9a.1 encodes the homologue of the mouse gene Tg737 which was identified through a BLAST search of the C. elegans genome database. Y41G9a.1 (CeTg737) was isolated from a mixed stage C. elegans cDNA library. CeTg737 encodes a predicted 823 amino acid protein with 45% identity to the mouse protein (Polaris). As determined for Polaris, CeTg737 contains two blocks of tetratricopeptide motifs (TPR) thought to be involved in protein-protein interactions. Northern blot analysis reveals a 2.6 kb transcript with the highest level of expression during embryogenesis and early larval stages. Transcriptional Y41G9a.1::GFP fusions using 400 bp upstream of the predicted ATG show expression in ciliated neurons including the amphids and phasmids. Analysis of the promoter region identified a potential X-box sequence approximately 100 bp upstream of the ATG. X-boxes are targets for the DAF-19 transcription factor and have been identified in the promoters of several genes involved in sensory cilia formation or maintenance. The role of DAF-19 in regulation of CeTg737 is currently being explored. Consistent with GFP expression analysis, monoclonal antibodies raised against recombinant CeTg737 detect a protein in the dendrites and cilia of sensory neurons and the sensory rays of the male tail. Overall the results in the worm are in agreement with our analysis in the mouse where Polaris localizes to the base of cilia and its disruption results in a loss of cilia.",WBPaper00016922,"Y41G9a.1, the C. elegans Homologue of Tg737, is Expressed in Ciliated Neurons",West Coast Worm Meeting,2000,Yoder BK|Taulman PD|Krum SM|Haycraft CJ
"Sensory perception and metabolic homeostasis are known to deteriorate with ageing, impairing the health of aged animals, while mechanisms underlying their deterioration remain poorly understood. The potential interplay between the declining sensory perception and the impaired metabolism during ageing is also barely explored. Here, we report that the intraflagellar transport (IFT) in the cilia of sensory neurons is impaired in the aged nematode Caenorhabditis elegans due to a daf-19/RFX-modulated decrease of IFT components. We find that the reduced IFT in sensory cilia thus impairs sensory perception with ageing. Moreover, we demonstrate that whereas the IFT-dependent decrease of sensory perception in aged worms has a mild impact on the insulin/IGF-1 signalling, it remarkably suppresses AMP-activated protein kinase (AMPK) signalling across tissues. We show that upregulating daf-19/RFX effectively enhances IFT, sensory perception, AMPK activity and autophagy, promoting metabolic homeostasis and longevity. Our study determines an ageing pathway causing IFT decay and sensory perception deterioration, which in turn disrupts metabolism and healthy ageing.",WBPaper00061202,The decrease of intraflagellar transport impairs sensory perception and metabolism in ageing.,Nat Commun,2021,Zhang Y|Zhang X|Dai Y|Song M|Zhou Y|Zhou J|Yan X|Shen Y
